"Example row: ""Visa; 1; 2; 10; 15"". Explanation: All Visa cards get a 10% discount if
                            customer pays in one payment or in two installments. Some Visa cards, issued by a specific
                            issuer, get a 15% discount under the same conditions. To setup specific discounts, contact
                            CorvusPay.","Primjer unosa: ""Visa; 1; 2; 10; 15"". Objašnjenje: Svim Visa karticama
                            odobrava se 10% popusta ako kupac plati jednokratno ili na dvije rate. Nekim Visa karticama,
                            koje je izdao poseban izdavatelj, odobrava se 15% popusta pod istim uvjetima. Za
                            postavljanje posebnih popusta kontaktirajte CorvusPay."
"PIS Payments Enabled",Omogućena PIS plaćanja
"Enable Pay by IBAN functionality.",Omogući Pay by IBAN funkcionalnost.
"Creditor Reference",Poziv na broj
"Payee model and reference number for PIS payments. Sequence ""${orderId}"" is replaced with Magento Order ID.","Model i poziv na broj primatelja za PIS plaćanja. Niz ""${orderId}"" će biti zamijenjen brojem Magento narudžbe."
"Sort Order","Redoslijed prikazivanja"
"Hide payment methods","Sakrij metode plaćanja"
"Hide payment methods during checkout.","Sakrij metode plaćanja na platnoj formi."
"Description","Opis"
"This controls the description which the user sees during checkout. You can add the following symbols: :amex: :dina: :diners: :discover: :jcb: :maestro: :master: :visa: :card: :iban: :paysafecard: :wallet: :applepay: :googlepay:","Ova postavka određuje koji opis će se prikazivati korisniku prilikom plaćanja. Možete dodati sljedeće simbole: :amex: :dina: :diners: :discover: :jcb: :maestro: :master: :visa: :card: :iban: :paysafecard: :wallet: :applepay: :googlepay:"
